1 капитан	Королев В.М.
2 капитан 	Власенко М. А. 
3 капитан 	Гамеза И. С.
4 капитан 	Иванов К. С.
5 ст.лейтенант 	Богданов В.К.
6 прапорщик 	Хаустов И. А.
7 ст. сержант 	Лосев Е. А.
8 сержант 	Воеводин П. Ю.
9 сержант	Родин В. В.
10 рядовой	Ваисов А. И.
11 рядовой	Беляев Д. О.
12 рядовой	Груздев А. И.
13 рядовой	Куплинов Д. А
14 рядовой	Масленников С. Ю.
15 рядовой	Гайдуков Д. С.
16 рядовой	Злыднев Н. О.
17 рядовой	Толыков К. Э.
18 рядовой	Пасов Н. В.
19 рядовой	Стариков С. А.
20 рядовой	Сычев К. А.
21 рядовой	Беляев Д. О.
22 рядовой	Груздев А. И.
23 рядовой	Куплинов Д. А
24 рядовой	Масленников С. Ю.
25 рядовой	Гайдуков Д. С.
26 рядовой	Злыднев Н. О.
27 рядовой	Толыков К. Э.
28 рядовой	Пасов Н. В.
29 рядовой	Стариков С. А.
30 рядовой	Сычев К. А.
31 рядовой	Беляев Д. О.
32 рядовой	Груздев А. И.
33 рядовой	Куплинов Д. А
34 рядовой	Масленников С. Ю.
35 рядовой	Гайдуков Д. С.
36 рядовой	Злыднев Н. О.
37 рядовой	Толыков К. Э.
38 рядовой	Пасов Н. В.
39 рядовой	Стариков С. А.
40 рядовой	Сычев К. А.
41 рядовой	Беляев Д. О.
42 рядовой	Груздев А. И.
43 рядовой	Куплинов Д. А
44 рядовой	Масленников С. Ю.
45 рядовой	Гайдуков Д. С.
